ID;Kontinent;Land;Region;Gattung;Unterkategorie;Fachlicher_Name;Gebraeuchlicher_Name_DE;Synonyme;Nutzung_Stichworte;Wirkung_Stichworte;Merkmale_Kurz;Besonderes;Band_Kapitel_Referenz;Bild_Platzhalter;QR_Platzhalter;Quelle_URL_oder_Kuerzel
B27-000001;Nordamerika;Kuba;;Öl;Pflanzenöl;Coriandrum sativum;Koriander;Koriandersamen;"Parfum;Räuchern";beruhigend;nussig;DOP;;illu-b27-B27-000001;qr-b27-B27-000001;
B27-000002;Nordamerika;Jamaika;;Getränk;Kaffee;Curcuma longa;Kurkuma;Gelbwurz;"Parfum;Räuchern";anregend;nussig;regional variabel;;illu-b27-B27-000002;qr-b27-B27-000002;
B27-000003;Europa;Österreich;;Harz;Harz;Cinnamomum cassia;Zimt (Cassia);Chinesischer Zimt;"Parfum;Räuchern";beruhigend;blumig;Basis für Mischungen;;illu-b27-B27-000003;qr-b27-B27-000003;
B27-000004;Südamerika;Argentinien;;Kräuter;Lamiaceae;Boswellia sacra;Weihrauch;Olibanum;"Currys;Mischung";appetitanregend;erdig;DOP;;illu-b27-B27-000004;qr-b27-B27-000004;
B27-000005;Nordamerika;Guatemala;;Tee;Grüntee;Piper nigrum;Pfeffer;Tellicherry;"Parfum;Räuchern";wärmend;herb;kultisch;;illu-b27-B27-000005;qr-b27-B27-000005;
B27-000006;Südamerika;Chile;;Getränk;Kakao;Mentha x piperita;Pfefferminze;;"Sauce;Marinade";anregend;süsslich;hochwertig;;illu-b27-B27-000006;qr-b27-B27-000006;
B27-000007;Europa;Österreich;;Mischung;Gewürzmischung;Boswellia sacra;Weihrauch;Olibanum;"Medizin;Heilung";beruhigend;blumig;regional variabel;;illu-b27-B27-000007;qr-b27-B27-000007;
B27-000008;Asien;Kambodscha;;Gewürz;Schoten;Curcuma longa;Kurkuma;Gelbwurz;"Finish;Tafel";verdauungsfördernd;holzartig;historisch;;illu-b27-B27-000008;qr-b27-B27-000008;
B27-000009;Afrika;Kenia;;Frucht;Früchte;Commiphora myrrha;Myrrhe;;"Tee;Getränk";mild;fruchtig;reguliert;;illu-b27-B27-000009;qr-b27-B27-000009;
B27-000010;Europa;Türkei;;Mineral;Würze;Vanilla planifolia;Vanille;Bourbon;"Tee;Getränk";kühl;fruchtig;selten;;illu-b27-B27-000010;qr-b27-B27-000010;
B27-000011;Asien;Indonesien;;Wurzel;Rhizome;Vanilla planifolia;Vanille;Bourbon;"Fisch;Fleisch";appetitanregend;fruchtig;fermentiert;;illu-b27-B27-000011;qr-b27-B27-000011;
B27-000012;Asien;Iran;;Salz;Meersalz;Origanum vulgare;Oregano;;"Tee;Getränk";appetitanregend;harzig;fermentiert;;illu-b27-B27-000012;qr-b27-B27-000012;
B27-000013;Ozeanien;Australien;;Tee;Schwarztee;Cinnamomum cassia;Zimt (Cassia);Chinesischer Zimt;"Würzen;Einlegen";schärfe;harzig;DOP;;illu-b27-B27-000013;qr-b27-B27-000013;
B27-000014;Südamerika;Argentinien;;Öl;Pflanzenöl;Camellia sinensis;Tee;Grüntee;Aromatherapie;edel;zitronig;regional variabel;;illu-b27-B27-000014;qr-b27-B27-000014;
B27-000015;Asien;Kambodscha;;Gewürz;Schoten;Capsicum chinense;Habanero;;"Medizin;Heilung";mild;blumig;hochwertig;;illu-b27-B27-000015;qr-b27-B27-000015;
B27-000016;Afrika;Ägypten;;Samen;Samen;Elettaria cardamomum;Kardamom;Grüner Kardamom;"Finish;Tafel";anregend;holzartig;regional variabel;;illu-b27-B27-000016;qr-b27-B27-000016;
B27-000017;Europa;Portugal;;Getränk;Tee;Coriandrum sativum;Koriander;Koriandersamen;"Medizin;Heilung";schärfe;blumig;Basis für Mischungen;;illu-b27-B27-000017;qr-b27-B27-000017;
