ID;Kontinent;Land;Region;Gattung;Unterkategorie;Fachlicher_Name;Gebraeuchlicher_Name_DE;Synonyme;Nutzung_Stichworte;Wirkung_Stichworte;Merkmale_Kurz;Besonderes;Band_Kapitel_Referenz;Bild_Platzhalter;QR_Platzhalter;Quelle_URL_oder_Kuerzel
B27-010001;Afrika;Kenia;;Wurzel;Rhizome;Curcuma longa;Kurkuma;Gelbwurz;"Sauce;Marinade";appetitanregend;harzig;Basis für Mischungen;;illu-b27-B27-010001;qr-b27-B27-010001;
B27-010002;Nordamerika;Kanada;;Gewürz;Beerengewürz;Zingiber officinale;Ingwer;Ginger;"Würzen;Einlegen";appetitanregend;rauchig;reguliert;;illu-b27-B27-010002;qr-b27-B27-010002;
B27-010003;Asien;Japan;;Wurzel;Rhizome;Erythroxylum coca;Coca-Blatt;;Aromatherapie;schärfe;herb;kultisch;;illu-b27-B27-010003;qr-b27-B27-010003;
B27-010004;Europa;Spanien;;Getränk;Kakao;Curcuma longa;Kurkuma;Gelbwurz;"Currys;Mischung";appetitanregend;rauchig;historisch;;illu-b27-B27-010004;qr-b27-B27-010004;
B27-010005;Asien;Iran;;Mischung;Gewürzmischung;Myristica fragrans;Muskatnuss;Muskat;"Suppen;Eintopf";anregend;harzig;fermentiert;;illu-b27-B27-010005;qr-b27-B27-010005;
B27-010006;Ozeanien;Neuseeland;;Gewürz;Samen;Zingiber officinale;Ingwer;Ginger;Aromatherapie;verdauungsfördernd;harzig;DOP;;illu-b27-B27-010006;qr-b27-B27-010006;
B27-010007;Afrika;Nigeria;;Gewürz;Beerengewürz;Coffea arabica;Kaffee;Arabica;"Sauce;Marinade";edel;fruchtig;fermentiert;;illu-b27-B27-010007;qr-b27-B27-010007;
B27-010008;Nordamerika;Mexiko;;Harz;Harz;Boswellia sacra;Weihrauch;Olibanum;"Sauce;Marinade";mild;süsslich;DOP;;illu-b27-B27-010008;qr-b27-B27-010008;
B27-010009;Europa;Griechenland;;Blätter;Blätter;Theobroma cacao;Kakao;Cocoa;"Fisch;Fleisch";schärfe;zitronig;Basis für Mischungen;;illu-b27-B27-010009;qr-b27-B27-010009;
B27-010010;Ozeanien;Papua-Neuguinea;;Gewürz;Samen;Allium sativum;Knoblauch;Garlic;"Suppen;Eintopf";edel;erdig;selten;;illu-b27-B27-010010;qr-b27-B27-010010;
B27-010011;Südamerika;Peru;;Tee;Schwarztee;Allium sativum;Knoblauch;Garlic;"Würzen;Einlegen";wärmend;herb;kultisch;;illu-b27-B27-010011;qr-b27-B27-010011;
B27-010012;Nordamerika;USA;;Salz;Steinsalz;Elettaria cardamomum;Kardamom;Grüner Kardamom;"Parfum;Räuchern";edel;fruchtig;Basis für Mischungen;;illu-b27-B27-010012;qr-b27-B27-010012;
B27-010013;Südamerika;Ecuador;;Tee;Grüntee;Capsicum annuum;Paprika;Chili;"Suppen;Eintopf";appetitanregend;blumig;kultisch;;illu-b27-B27-010013;qr-b27-B27-010013;
B27-010014;Nordamerika;USA;;Frucht;Früchte;Curcuma longa;Kurkuma;Gelbwurz;"Snack;Süssspeisen";aromatisch;herb;selten;;illu-b27-B27-010014;qr-b27-B27-010014;
B27-010015;Nordamerika;Jamaika;;Getränk;Kakao;Armoracia rusticana;Meerrettich;Kren;"Parfum;Räuchern";aromatisch;zitronig;fermentiert;;illu-b27-B27-010015;qr-b27-B27-010015;
B27-010016;Europa;Italien;;Harz;Harz;Theobroma cacao;Kakao;Cocoa;"Finish;Tafel";edel;herb;reguliert;;illu-b27-B27-010016;qr-b27-B27-010016;
B27-010017;Asien;Kambodscha;;Öl;Pflanzenöl;Elettaria cardamomum;Kardamom;Grüner Kardamom;"Tee;Getränk";verdauungsfördernd;blumig;regional variabel;;illu-b27-B27-010017;qr-b27-B27-010017;
B27-010018;Europa;Österreich;;Salz;Meersalz;Ocimum basilicum;Basilikum;Basilico;"Currys;Mischung";edel;erdig;selten;;illu-b27-B27-010018;qr-b27-B27-010018;
B27-010019;Europa;Schweiz;;Getränk;Kakao;Salvia rosmarinus;Rosmarin;Rosmarinus;"Currys;Mischung";mild;holzartig;regional variabel;;illu-b27-B27-010019;qr-b27-B27-010019;
B27-010020;Südamerika;Bolivien;;Tee;Oolong;Armoracia rusticana;Meerrettich;Kren;"Suppen;Eintopf";aromatisch;süsslich;historisch;;illu-b27-B27-010020;qr-b27-B27-010020;
B27-010021;Asien;Thailand;;Blätter;Blätter;Theobroma cacao;Kakao;Cocoa;"Medizin;Heilung";beruhigend;harzig;regional variabel;;illu-b27-B27-010021;qr-b27-B27-010021;
B27-010022;Nordamerika;Kuba;;Blätter;Blätter;Capsicum chinense;Habanero;;"Currys;Mischung";appetitanregend;harzig;reguliert;;illu-b27-B27-010022;qr-b27-B27-010022;
B27-010023;Europa;Frankreich;;Gewürz;Schoten;Elettaria cardamomum;Kardamom;Grüner Kardamom;"Medizin;Heilung";schärfe;süsslich;DOP;;illu-b27-B27-010023;qr-b27-B27-010023;
B27-010024;Ozeanien;Fidschi;;Getränk;Kaffee;Foeniculum vulgare;Fenchel;Finocchio;"Parfum;Räuchern";mild;rauchig;regional variabel;;illu-b27-B27-010024;qr-b27-B27-010024;
B27-010025;Afrika;Nigeria;;Mischung;Gewürzmischung;Erythroxylum coca;Coca-Blatt;;"Suppen;Eintopf";wärmend;herb;fermentiert;;illu-b27-B27-010025;qr-b27-B27-010025;
B27-010026;Asien;Indien;;Mineral;Würze;Origanum vulgare;Oregano;;"Suppen;Eintopf";wärmend;rauchig;DOP;;illu-b27-B27-010026;qr-b27-B27-010026;
B27-010027;Europa;Italien;;Tee;Oolong;Mentha spicata;Minze;Spearmint;"Currys;Mischung";kühl;harzig;Basis für Mischungen;;illu-b27-B27-010027;qr-b27-B27-010027;
B27-010028;Nordamerika;Jamaika;;Samen;Samen;Origanum vulgare;Oregano;;"Medizin;Heilung";aromatisch;zitronig;selten;;illu-b27-B27-010028;qr-b27-B27-010028;
B27-010029;Europa;Portugal;;Salz;Steinsalz;Wasabia japonica;Wasabi;;"Currys;Mischung";schärfe;zitronig;Basis für Mischungen;;illu-b27-B27-010029;qr-b27-B27-010029;
B27-010030;Asien;Indien;;Kräuter;Lamiaceae;Cinnamomum cassia;Zimt (Cassia);Chinesischer Zimt;"Backen;Dessert";wärmend;zitronig;AOP;;illu-b27-B27-010030;qr-b27-B27-010030;
B27-010031;Nordamerika;Kanada;;Öl;Pflanzenöl;Cinnamomum verum;Zimt (Ceylon);Kaneel;"Currys;Mischung";anregend;rauchig;fermentiert;;illu-b27-B27-010031;qr-b27-B27-010031;
B27-010032;Asien;Sri Lanka;;Heilpflanze;Präparat;Commiphora myrrha;Myrrhe;;"Currys;Mischung";schärfe;rauchig;DOP;;illu-b27-B27-010032;qr-b27-B27-010032;
B27-010033;Afrika;Südafrika;;Kräuter;Lamiaceae;Piper nigrum;Pfeffer;Tellicherry;"Fisch;Fleisch";wärmend;süsslich;DOP;;illu-b27-B27-010033;qr-b27-B27-010033;
B27-010034;Europa;Deutschland;;Mischung;Gewürzmischung;Origanum vulgare;Oregano;;"Tee;Getränk";anregend;holzartig;DOP;;illu-b27-B27-010034;qr-b27-B27-010034;
B27-010035;Nordamerika;Mexiko;;Tee;Schwarztee;Vanilla planifolia;Vanille;Bourbon;"Backen;Dessert";mild;fruchtig;Basis für Mischungen;;illu-b27-B27-010035;qr-b27-B27-010035;
B27-010036;Europa;Portugal;;Wurzel;Rhizome;Curcuma longa;Kurkuma;Gelbwurz;"Currys;Mischung";wärmend;nussig;regional variabel;;illu-b27-B27-010036;qr-b27-B27-010036;
B27-010037;Asien;Nepal;;Tee;Oolong;Myristica fragrans;Muskatnuss;Muskat;"Finish;Tafel";mild;rauchig;selten;;illu-b27-B27-010037;qr-b27-B27-010037;
B27-010038;Südamerika;Kolumbien;;Kräuter;Lamiaceae;Laurus nobilis;Lorbeer;Bay Leaf;"Tee;Getränk";schärfe;würzig;historisch;;illu-b27-B27-010038;qr-b27-B27-010038;
B27-010039;Südamerika;Brasilien;;Tee;Grüntee;Coriandrum sativum;Koriander;Koriandersamen;"Snack;Süssspeisen";schärfe;herb;reguliert;;illu-b27-B27-010039;qr-b27-B27-010039;
B27-010040;Afrika;Südafrika;;Schote;Orchidaceae;Capsicum chinense;Habanero;;"Sauce;Marinade";schärfe;holzartig;historisch;;illu-b27-B27-010040;qr-b27-B27-010040;
B27-010041;Nordamerika;Kuba;;Tee;Oolong;Thymus vulgaris;Thymian;Thym;Aromatherapie;anregend;erdig;historisch;;illu-b27-B27-010041;qr-b27-B27-010041;
B27-010042;Ozeanien;Australien;;Mineral;Würze;Piper nigrum;Pfeffer;Tellicherry;"Sauce;Marinade";kühl;süsslich;fermentiert;;illu-b27-B27-010042;qr-b27-B27-010042;
B27-010043;Südamerika;Ecuador;;Mineral;Würze;Salvia rosmarinus;Rosmarin;Rosmarinus;Aromatherapie;mild;holzartig;hochwertig;;illu-b27-B27-010043;qr-b27-B27-010043;
B27-010044;Ozeanien;Australien;;Gewürz;Schoten;Cinnamomum verum;Zimt (Ceylon);Kaneel;"Suppen;Eintopf";schärfe;herb;historisch;;illu-b27-B27-010044;qr-b27-B27-010044;
B27-010045;Ozeanien;Neuseeland;;Kräuter;Lamiaceae;Vanilla planifolia;Vanille;Bourbon;"Sauce;Marinade";schärfe;fruchtig;hochwertig;;illu-b27-B27-010045;qr-b27-B27-010045;
B27-010046;Südamerika;Peru;;Gewürz;Samen;Camellia sinensis;Tee;Grüntee;"Medizin;Heilung";wärmend;zitronig;historisch;;illu-b27-B27-010046;qr-b27-B27-010046;
B27-010047;Nordamerika;Guatemala;;Öl;Pflanzenöl;Laurus nobilis;Lorbeer;Bay Leaf;"Parfum;Räuchern";schärfe;herb;Basis für Mischungen;;illu-b27-B27-010047;qr-b27-B27-010047;
B27-010048;Asien;China;;Frucht;Früchte;Piper nigrum;Pfeffer;Tellicherry;"Finish;Tafel";verdauungsfördernd;erdig;DOP;;illu-b27-B27-010048;qr-b27-B27-010048;
B27-010049;Europa;Deutschland;;Frucht;Früchte;Commiphora myrrha;Myrrhe;;"Parfum;Räuchern";aromatisch;nussig;selten;;illu-b27-B27-010049;qr-b27-B27-010049;
B27-010050;Europa;Portugal;;Tee;Grüntee;Crocus sativus;Safran;Saffran;"Sauce;Marinade";edel;rauchig;AOP;;illu-b27-B27-010050;qr-b27-B27-010050;
B27-010051;Afrika;Marokko;;Harz;Harz;Theobroma cacao;Kakao;Cocoa;"Sauce;Marinade";beruhigend;holzartig;DOP;;illu-b27-B27-010051;qr-b27-B27-010051;
B27-010052;Südamerika;Ecuador;;Wurzel;Rhizome;Cinnamomum cassia;Zimt (Cassia);Chinesischer Zimt;"Würzen;Einlegen";wärmend;süsslich;historisch;;illu-b27-B27-010052;qr-b27-B27-010052;
B27-010053;Afrika;Madagaskar;;Kräuter;Lamiaceae;Origanum vulgare;Oregano;;"Fisch;Fleisch";schärfe;harzig;selten;;illu-b27-B27-010053;qr-b27-B27-010053;
B27-010054;Afrika;Marokko;;Mischung;Gewürzmischung;Syzygium aromaticum;Nelke;Gewürznelke;"Finish;Tafel";edel;zitronig;AOP;;illu-b27-B27-010054;qr-b27-B27-010054;
B27-010055;Europa;Ungarn;;Blätter;Blätter;Foeniculum vulgare;Fenchel;Finocchio;"Fisch;Fleisch";mild;rauchig;selten;;illu-b27-B27-010055;qr-b27-B27-010055;
B27-010056;Asien;Indien;;Getränk;Kaffee;Origanum vulgare;Oregano;;"Fisch;Fleisch";appetitanregend;blumig;fermentiert;;illu-b27-B27-010056;qr-b27-B27-010056;
B27-010057;Nordamerika;Guatemala;;Getränk;Kaffee;Vanilla planifolia;Vanille;Bourbon;"Tee;Getränk";appetitanregend;würzig;hochwertig;;illu-b27-B27-010057;qr-b27-B27-010057;
B27-010058;Südamerika;Peru;;Salz;Meersalz;Allium cepa;Zwiebel;Onion;"Würzen;Einlegen";mild;würzig;DOP;;illu-b27-B27-010058;qr-b27-B27-010058;
B27-010059;Europa;Portugal;;Mischung;Gewürzmischung;Armoracia rusticana;Meerrettich;Kren;Aromatherapie;verdauungsfördernd;herb;Basis für Mischungen;;illu-b27-B27-010059;qr-b27-B27-010059;
B27-010060;Südamerika;Chile;;Frucht;Früchte;Foeniculum vulgare;Fenchel;Finocchio;"Fisch;Fleisch";schärfe;würzig;AOP;;illu-b27-B27-010060;qr-b27-B27-010060;
B27-010061;Europa;Türkei;;Getränk;Kakao;Cinnamomum cassia;Zimt (Cassia);Chinesischer Zimt;"Medizin;Heilung";kühl;zitronig;fermentiert;;illu-b27-B27-010061;qr-b27-B27-010061;
B27-010062;Afrika;Marokko;;Schote;Orchidaceae;Mentha spicata;Minze;Spearmint;"Sauce;Marinade";anregend;herb;fermentiert;;illu-b27-B27-010062;qr-b27-B27-010062;
B27-010063;Europa;Spanien;;Salz;Meersalz;Erythroxylum coca;Coca-Blatt;;"Suppen;Eintopf";anregend;erdig;kultisch;;illu-b27-B27-010063;qr-b27-B27-010063;
B27-010064;Südamerika;Kolumbien;;Frucht;Früchte;Origanum vulgare;Oregano;;Aromatherapie;schärfe;zitronig;kultisch;;illu-b27-B27-010064;qr-b27-B27-010064;
B27-010065;Südamerika;Argentinien;;Heilpflanze;Präparat;Thymus vulgaris;Thymian;Thym;"Suppen;Eintopf";beruhigend;herb;historisch;;illu-b27-B27-010065;qr-b27-B27-010065;
B27-010066;Asien;Thailand;;Harz;Harz;Mentha spicata;Minze;Spearmint;"Finish;Tafel";appetitanregend;fruchtig;reguliert;;illu-b27-B27-010066;qr-b27-B27-010066;
B27-010067;Asien;Iran;;Essenz;Aromatisch;Allium sativum;Knoblauch;Garlic;"Tee;Getränk";verdauungsfördernd;zitronig;reguliert;;illu-b27-B27-010067;qr-b27-B27-010067;
B27-010068;Südamerika;Argentinien;;Harz;Harz;Zingiber officinale;Ingwer;Ginger;"Würzen;Einlegen";verdauungsfördernd;erdig;fermentiert;;illu-b27-B27-010068;qr-b27-B27-010068;
B27-010069;Nordamerika;Mexiko;;Tee;Grüntee;Piper nigrum;Pfeffer;Tellicherry;"Sauce;Marinade";edel;holzartig;kultisch;;illu-b27-B27-010069;qr-b27-B27-010069;
B27-010070;Südamerika;Argentinien;;Heilpflanze;Präparat;Coffea arabica;Kaffee;Arabica;"Sauce;Marinade";schärfe;nussig;DOP;;illu-b27-B27-010070;qr-b27-B27-010070;
B27-010071;Nordamerika;USA;;Öl;Pflanzenöl;Capsicum chinense;Habanero;;"Snack;Süssspeisen";mild;erdig;fermentiert;;illu-b27-B27-010071;qr-b27-B27-010071;
B27-010072;Südamerika;Bolivien;;Getränk;Tee;Crocus sativus;Safran;Saffran;"Snack;Süssspeisen";verdauungsfördernd;zitronig;historisch;;illu-b27-B27-010072;qr-b27-B27-010072;
B27-010073;Afrika;Ägypten;;Getränk;Tee;Foeniculum vulgare;Fenchel;Finocchio;"Backen;Dessert";schärfe;erdig;DOP;;illu-b27-B27-010073;qr-b27-B27-010073;
B27-010074;Asien;China;;Schote;Orchidaceae;Armoracia rusticana;Meerrettich;Kren;"Fisch;Fleisch";schärfe;harzig;AOP;;illu-b27-B27-010074;qr-b27-B27-010074;
B27-010075;Asien;Nepal;;Blätter;Blätter;Origanum vulgare;Oregano;;Aromatherapie;mild;nussig;fermentiert;;illu-b27-B27-010075;qr-b27-B27-010075;
B27-010076;Asien;Vietnam;;Schote;Orchidaceae;Zingiber officinale;Ingwer;Ginger;"Snack;Süssspeisen";appetitanregend;nussig;regional variabel;;illu-b27-B27-010076;qr-b27-B27-010076;
B27-010077;Nordamerika;USA;;Salz;Meersalz;Ocimum basilicum;Basilikum;Basilico;"Currys;Mischung";edel;würzig;selten;;illu-b27-B27-010077;qr-b27-B27-010077;
B27-010078;Nordamerika;USA;;Wurzel;Rhizome;Ocimum basilicum;Basilikum;Basilico;"Sauce;Marinade";aromatisch;harzig;regional variabel;;illu-b27-B27-010078;qr-b27-B27-010078;
B27-010079;Europa;Italien;;Öl;Pflanzenöl;Thymus vulgaris;Thymian;Thym;"Würzen;Einlegen";schärfe;rauchig;DOP;;illu-b27-B27-010079;qr-b27-B27-010079;
B27-010080;Afrika;Äthiopien;;Tee;Grüntee;Erythroxylum coca;Coca-Blatt;;"Sauce;Marinade";kühl;harzig;regional variabel;;illu-b27-B27-010080;qr-b27-B27-010080;
B27-010081;Asien;Vietnam;;Essenz;Aromatisch;Mentha spicata;Minze;Spearmint;"Tee;Getränk";verdauungsfördernd;rauchig;selten;;illu-b27-B27-010081;qr-b27-B27-010081;
B27-010082;Südamerika;Ecuador;;Getränk;Kaffee;Thymus vulgaris;Thymian;Thym;Aromatherapie;edel;zitronig;DOP;;illu-b27-B27-010082;qr-b27-B27-010082;
B27-010083;Europa;Frankreich;;Essenz;Aromatisch;Camellia sinensis;Tee;Grüntee;"Suppen;Eintopf";appetitanregend;fruchtig;reguliert;;illu-b27-B27-010083;qr-b27-B27-010083;
