ID;Kontinent;Land;Region;Gattung;Unterkategorie;Fachlicher_Name;Gebraeuchlicher_Name_DE;Synonyme;Nutzung_Stichworte;Wirkung_Stichworte;Merkmale_Kurz;Besonderes;Band_Kapitel_Referenz;Bild_Platzhalter;QR_Platzhalter;Quelle_URL_oder_Kuerzel
B27-005001;Europa;Österreich;;Blätter;Blätter;Boswellia sacra;Weihrauch;Olibanum;"Parfum;Räuchern";edel;süsslich;reguliert;;illu-b27-B27-005001;qr-b27-B27-005001;
B27-005002;Europa;Portugal;;Getränk;Tee;Crocus sativus;Safran;Saffran;"Backen;Dessert";wärmend;nussig;AOP;;illu-b27-B27-005002;qr-b27-B27-005002;
B27-005003;Europa;Türkei;;Samen;Samen;Boswellia sacra;Weihrauch;Olibanum;"Tee;Getränk";wärmend;nussig;Basis für Mischungen;;illu-b27-B27-005003;qr-b27-B27-005003;
B27-005004;Südamerika;Kolumbien;;Salz;Steinsalz;Zingiber officinale;Ingwer;Ginger;"Würzen;Einlegen";schärfe;erdig;selten;;illu-b27-B27-005004;qr-b27-B27-005004;
B27-005005;Südamerika;Ecuador;;Salz;Steinsalz;Boswellia sacra;Weihrauch;Olibanum;"Suppen;Eintopf";edel;herb;hochwertig;;illu-b27-B27-005005;qr-b27-B27-005005;
B27-005006;Asien;Kambodscha;;Kräuter;Lamiaceae;Capsicum chinense;Habanero;;"Würzen;Einlegen";anregend;harzig;selten;;illu-b27-B27-005006;qr-b27-B27-005006;
B27-005007;Asien;Indonesien;;Getränk;Kakao;Coffea arabica;Kaffee;Arabica;Aromatherapie;schärfe;holzartig;fermentiert;;illu-b27-B27-005007;qr-b27-B27-005007;
B27-005008;Afrika;Nigeria;;Mineral;Würze;Laurus nobilis;Lorbeer;Bay Leaf;"Parfum;Räuchern";schärfe;zitronig;selten;;illu-b27-B27-005008;qr-b27-B27-005008;
B27-005009;Europa;Schweiz;;Salz;Steinsalz;Ocimum basilicum;Basilikum;Basilico;"Medizin;Heilung";verdauungsfördernd;süsslich;DOP;;illu-b27-B27-005009;qr-b27-B27-005009;
B27-005010;Nordamerika;Jamaika;;Kräuter;Lamiaceae;Crocus sativus;Safran;Saffran;"Würzen;Einlegen";appetitanregend;würzig;AOP;;illu-b27-B27-005010;qr-b27-B27-005010;
B27-005011;Asien;Japan;;Gewürz;Beerengewürz;Camellia sinensis;Tee;Grüntee;"Finish;Tafel";wärmend;rauchig;reguliert;;illu-b27-B27-005011;qr-b27-B27-005011;
B27-005012;Europa;Türkei;;Tee;Oolong;Cinnamomum verum;Zimt (Ceylon);Kaneel;"Medizin;Heilung";beruhigend;harzig;fermentiert;;illu-b27-B27-005012;qr-b27-B27-005012;
B27-005013;Ozeanien;Fidschi;;Essenz;Aromatisch;Crocus sativus;Safran;Saffran;"Tee;Getränk";wärmend;süsslich;regional variabel;;illu-b27-B27-005013;qr-b27-B27-005013;
B27-005014;Asien;Vietnam;;Blätter;Blätter;Cinnamomum verum;Zimt (Ceylon);Kaneel;"Currys;Mischung";verdauungsfördernd;rauchig;fermentiert;;illu-b27-B27-005014;qr-b27-B27-005014;
B27-005015;Europa;Deutschland;;Getränk;Tee;Ocimum basilicum;Basilikum;Basilico;"Suppen;Eintopf";wärmend;holzartig;kultisch;;illu-b27-B27-005015;qr-b27-B27-005015;
