ID;Kontinent;Land;Region;Gattung;Unterkategorie;Fachlicher_Name;Gebraeuchlicher_Name_DE;Synonyme;Nutzung_Stichworte;Wirkung_Stichworte;Merkmale_Kurz;Besonderes;Band_Kapitel_Referenz;Bild_Platzhalter;QR_Platzhalter;Quelle_URL_oder_Kuerzel
B27-015001;Ozeanien;Fidschi;;Getränk;Kakao;Wasabia japonica;Wasabi;;"Currys;Mischung";kühl;holzartig;hochwertig;;illu-b27-B27-015001;qr-b27-B27-015001;
B27-015002;Südamerika;Kolumbien;;Getränk;Kaffee;Capsicum annuum;Paprika;Chili;"Suppen;Eintopf";appetitanregend;blumig;Basis für Mischungen;;illu-b27-B27-015002;qr-b27-B27-015002;
B27-015003;Ozeanien;Fidschi;;Öl;Pflanzenöl;Cinnamomum cassia;Zimt (Cassia);Chinesischer Zimt;"Finish;Tafel";verdauungsfördernd;blumig;selten;;illu-b27-B27-015003;qr-b27-B27-015003;
B27-015004;Europa;Schweiz;;Gewürz;Beerengewürz;Allium sativum;Knoblauch;Garlic;"Tee;Getränk";appetitanregend;blumig;historisch;;illu-b27-B27-015004;qr-b27-B27-015004;
B27-015005;Afrika;Südafrika;;Samen;Samen;Wasabia japonica;Wasabi;;"Sauce;Marinade";anregend;rauchig;DOP;;illu-b27-B27-015005;qr-b27-B27-015005;
B27-015006;Ozeanien;Neuseeland;;Blätter;Blätter;Capsicum annuum;Paprika;Chili;"Parfum;Räuchern";anregend;fruchtig;DOP;;illu-b27-B27-015006;qr-b27-B27-015006;
B27-015007;Südamerika;Bolivien;;Kräuter;Lamiaceae;Myristica fragrans;Muskatnuss;Muskat;"Backen;Dessert";verdauungsfördernd;nussig;DOP;;illu-b27-B27-015007;qr-b27-B27-015007;
B27-015008;Südamerika;Argentinien;;Getränk;Kakao;Theobroma cacao;Kakao;Cocoa;"Suppen;Eintopf";kühl;nussig;AOP;;illu-b27-B27-015008;qr-b27-B27-015008;
B27-015009;Nordamerika;Guatemala;;Gewürz;Samen;Salvia rosmarinus;Rosmarin;Rosmarinus;"Würzen;Einlegen";edel;rauchig;AOP;;illu-b27-B27-015009;qr-b27-B27-015009;
B27-015010;Asien;Indonesien;;Gewürz;Schoten;Erythroxylum coca;Coca-Blatt;;"Snack;Süssspeisen";edel;zitronig;hochwertig;;illu-b27-B27-015010;qr-b27-B27-015010;
B27-015011;Afrika;Ägypten;;Mineral;Würze;Boswellia sacra;Weihrauch;Olibanum;"Fisch;Fleisch";verdauungsfördernd;zitronig;fermentiert;;illu-b27-B27-015011;qr-b27-B27-015011;
B27-015012;Ozeanien;Fidschi;;Tee;Schwarztee;Piper nigrum;Pfeffer;Tellicherry;"Sauce;Marinade";beruhigend;blumig;DOP;;illu-b27-B27-015012;qr-b27-B27-015012;
B27-015013;Südamerika;Argentinien;;Getränk;Kaffee;Cinnamomum cassia;Zimt (Cassia);Chinesischer Zimt;"Tee;Getränk";anregend;blumig;kultisch;;illu-b27-B27-015013;qr-b27-B27-015013;
