ID;Kontinent;Land;Region;Gattung;Unterkategorie;Fachlicher_Name;Gebraeuchlicher_Name_DE;Synonyme;Nutzung_Stichworte;Wirkung_Stichworte;Merkmale_Kurz;Besonderes;Band_Kapitel_Referenz;Bild_Platzhalter;QR_Platzhalter;Quelle_URL_oder_Kuerzel
B27-025001;Europa;Schweiz;;Harz;Harz;Thymus vulgaris;Thymian;Thym;"Tee;Getränk";beruhigend;süsslich;hochwertig;;illu-b27-B27-025001;qr-b27-B27-025001;
B27-025002;Ozeanien;Fidschi;;Salz;Meersalz;Crocus sativus;Safran;Saffran;"Tee;Getränk";wärmend;herb;Basis für Mischungen;;illu-b27-B27-025002;qr-b27-B27-025002;
B27-025003;Südamerika;Brasilien;;Öl;Pflanzenöl;Allium sativum;Knoblauch;Garlic;"Sauce;Marinade";verdauungsfördernd;rauchig;historisch;;illu-b27-B27-025003;qr-b27-B27-025003;
B27-025004;Südamerika;Peru;;Salz;Meersalz;Salvia rosmarinus;Rosmarin;Rosmarinus;"Suppen;Eintopf";appetitanregend;fruchtig;DOP;;illu-b27-B27-025004;qr-b27-B27-025004;
B27-025005;Europa;Ungarn;;Tee;Oolong;Cinnamomum cassia;Zimt (Cassia);Chinesischer Zimt;"Snack;Süssspeisen";aromatisch;zitronig;Basis für Mischungen;;illu-b27-B27-025005;qr-b27-B27-025005;
B27-025006;Nordamerika;Jamaika;;Kräuter;Lamiaceae;Foeniculum vulgare;Fenchel;Finocchio;"Currys;Mischung";appetitanregend;blumig;selten;;illu-b27-B27-025006;qr-b27-B27-025006;
B27-025007;Südamerika;Argentinien;;Samen;Samen;Allium sativum;Knoblauch;Garlic;"Snack;Süssspeisen";schärfe;nussig;kultisch;;illu-b27-B27-025007;qr-b27-B27-025007;
B27-025008;Südamerika;Bolivien;;Tee;Schwarztee;Coffea arabica;Kaffee;Arabica;"Sauce;Marinade";verdauungsfördernd;rauchig;Basis für Mischungen;;illu-b27-B27-025008;qr-b27-B27-025008;
B27-025009;Südamerika;Bolivien;;Blätter;Blätter;Origanum vulgare;Oregano;;"Finish;Tafel";kühl;herb;selten;;illu-b27-B27-025009;qr-b27-B27-025009;
B27-025010;Ozeanien;Australien;;Harz;Harz;Armoracia rusticana;Meerrettich;Kren;"Snack;Süssspeisen";schärfe;fruchtig;kultisch;;illu-b27-B27-025010;qr-b27-B27-025010;
